timestamp,roll_angle,steering_output,final_steer,target_speed,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,0.002,0.000245,0.000245,4.993,-0.000233,0.000000,-0.000012,0.000,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.013,0.056595,0.056595,4.554,-0.001903,0.000000,-0.054692,0.000,0.177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.015,0.070947,0.070947,4.442,-0.002280,0.000000,-0.068667,0.000,0.222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.007,0.048340,0.048340,4.618,-0.001080,0.000000,-0.047260,0.000,0.151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.009,0.053937,0.053937,4.574,-0.001333,0.000000,-0.052604,-0.002,0.169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.021,0.189315,0.189315,3.518,-0.003115,0.000000,-0.186201,-0.013,0.592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.031,0.191320,0.191320,3.502,-0.004656,0.000000,-0.186664,-0.015,0.598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.025,0.165094,0.165094,3.707,-0.003775,0.000000,-0.161319,-0.007,0.516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,0.036,0.245550,0.245550,3.079,-0.005395,0.000000,-0.240155,-0.009,0.767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.044,0.283889,0.283889,2.997,-0.006586,0.000000,-0.277303,-0.021,0.887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,0.061,0.242078,0.242078,3.106,-0.009104,0.000000,-0.232974,-0.031,0.756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,0.046,0.136185,0.136185,3.932,-0.006893,0.000000,-0.129292,-0.025,0.426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.072,0.237227,0.237227,3.144,-0.010828,0.000000,-0.226399,-0.036,0.741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.084,0.240605,0.240605,3.117,-0.012526,0.000000,-0.228079,-0.044,0.752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.081,0.183926,0.183926,3.560,-0.012125,0.000000,-0.171801,-0.061,0.575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,0.100,0.155795,0.155795,3.779,-0.015039,0.000000,-0.140756,-0.046,0.487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
