timestamp,roll_angle,steering_output,final_steer,target_speed,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,0.002,0.000237,0.000237,4.993,-0.000237,0.000000,-0.000000,0.000,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,-0.009,-0.000882,-0.000882,4.988,0.000882,0.000000,0.000000,0.000,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.006,0.000563,0.000563,4.991,-0.000563,0.000000,-0.000000,0.000,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.011,0.001145,0.001145,4.986,-0.001145,0.000000,-0.000000,0.000,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.012,0.001222,0.001222,4.986,-0.001222,0.000000,-0.000000,-0.002,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.013,0.001278,0.001278,4.985,-0.001278,0.000000,-0.000000,0.009,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.011,0.001065,0.001065,4.987,-0.001065,0.000000,-0.000000,-0.006,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.026,0.002575,0.002575,4.975,-0.002575,0.000000,-0.000000,-0.011,0.008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,0.026,0.002630,0.002630,4.975,-0.002630,0.000000,-0.000000,-0.012,0.008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.019,0.001929,0.001929,4.980,-0.001929,0.000000,0.000000,-0.013,0.006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,0.005,0.000538,0.000538,4.991,-0.000538,0.000000,0.000000,-0.011,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,-0.008,-0.000752,-0.000752,4.989,0.000752,0.000000,0.000000,-0.026,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.028,0.002770,0.002770,4.974,-0.002770,0.000000,-0.000000,-0.026,0.009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.013,0.001337,0.001337,4.985,-0.001337,0.000000,0.000000,-0.019,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.001,0.000149,0.000149,4.994,-0.000149,0.000000,0.000000,-0.005,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,0.002,0.000171,0.000171,4.994,-0.000171,0.000000,-0.000000,0.008,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,0.027,0.002689,0.002689,4.974,-0.002689,0.000000,-0.000000,-0.028,0.008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,0.008,0.000818,0.000818,4.989,-0.000818,0.000000,0.000000,-0.013,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,-0.006,-0.000632,-0.000632,4.990,0.000632,0.000000,0.000000,-0.001,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,-0.004,-0.000369,-0.000369,4.992,0.000369,0.000000,0.000000,-0.002,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.042000,0.016,0.001646,0.001646,4.982,-0.001646,0.000000,-0.000000,-0.027,0.005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.044000,0.014,0.001367,0.001367,4.985,-0.001367,0.000000,0.000000,-0.008,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.046000,0.004,0.000381,0.000381,4.992,-0.000381,0.000000,0.000000,0.006,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.048000,0.001,0.000115,0.000115,4.994,-0.000115,0.000000,-0.000000,0.004,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.050000,-0.004,-0.000376,-0.000376,4.992,0.000376,0.000000,-0.000000,-0.016,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.052000,0.023,0.002314,0.042367,5.037,-0.002314,0.000000,0.000000,-0.014,0.007,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.054000,0.000,0.000007,0.040795,5.037,-0.000007,0.000000,0.000000,-0.004,0.000,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.056000,0.015,0.001477,0.041797,5.037,-0.001477,0.000000,0.000000,-0.001,0.005,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.058000,0.002,0.000199,0.040926,5.037,-0.000199,0.000000,0.000000,0.004,0.001,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.060000,-0.007,-0.000695,0.040317,5.037,0.000695,0.000000,0.000000,-0.023,0.002,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.062000,-0.010,-0.000954,0.040141,5.037,0.000954,0.000000,0.000000,-0.000,0.003,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.064000,0.001,0.000124,0.040875,5.037,-0.000124,0.000000,0.000000,-0.015,0.000,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.066000,0.018,0.001822,0.042032,5.037,-0.001822,0.000000,-0.000000,-0.002,0.006,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.068000,0.012,0.001156,0.041578,5.037,-0.001156,0.000000,-0.000000,0.007,0.004,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.070000,0.005,0.000541,0.041159,5.037,-0.000541,0.000000,-0.000000,0.010,0.002,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.072000,0.032,0.003191,0.042965,5.037,-0.003191,0.000000,-0.000000,-0.001,0.010,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.074000,0.043,0.004260,0.043693,5.037,-0.004260,0.000000,-0.000000,-0.018,0.013,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.076000,0.038,0.003796,0.043377,5.037,-0.003796,0.000000,0.000000,-0.012,0.012,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.078000,0.035,0.003469,0.043154,5.037,-0.003469,0.000000,0.000000,-0.005,0.011,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.080000,0.046,0.004611,0.043932,5.037,-0.004611,0.000000,-0.000000,-0.032,0.014,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.082000,0.053,0.005297,0.044400,5.037,-0.005297,0.000000,-0.000000,-0.043,0.017,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.084000,0.063,0.006270,0.045063,5.037,-0.006270,0.000000,-0.000000,-0.038,0.020,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.086000,0.072,0.007188,0.045688,5.037,-0.007188,0.000000,-0.000000,-0.035,0.022,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.088000,0.088,0.008794,0.046782,5.037,-0.008794,0.000000,-0.000000,-0.046,0.027,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.090000,0.087,0.008673,0.046700,5.037,-0.008673,0.000000,-0.000000,-0.053,0.027,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.092000,0.068,0.006846,0.045455,5.037,-0.006846,0.000000,-0.000000,-0.063,0.021,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.094000,0.096,0.009588,0.047323,5.037,-0.009588,0.000000,-0.000000,-0.072,0.030,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.096000,0.100,0.009968,0.047582,5.037,-0.009968,0.000000,-0.000000,-0.088,0.031,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.098000,0.099,0.009870,0.047515,5.037,-0.009870,0.000000,-0.000000,-0.087,0.031,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.100000,0.086,0.008570,0.046629,5.037,-0.008570,0.000000,-0.000000,0.000,0.027,0.045855,0.400000,0.408290,2.292747,0.000000,0.000000,1,53.11
0.102000,0.105,0.010458,0.047488,4.969,-0.010458,0.000000,-0.000000,0.000,0.033,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.104000,0.109,0.010930,0.047811,4.969,-0.010930,0.000000,-0.000000,0.000,0.034,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.106000,0.117,0.011701,0.048339,4.969,-0.011701,0.000000,-0.000000,0.000,0.037,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.108000,0.134,0.013448,0.049536,4.969,-0.013448,0.000000,-0.000000,-0.086,0.042,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.110000,0.124,0.012443,0.048848,4.969,-0.012443,0.000000,-0.000000,-0.105,0.039,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.112000,0.130,0.012961,0.049202,4.969,-0.012961,0.000000,-0.000000,-0.109,0.041,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.114000,0.129,0.012930,0.049181,4.969,-0.012930,0.000000,-0.000000,-0.117,0.040,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
0.116000,0.162,0.016187,0.051412,4.969,-0.016187,0.000000,-0.000000,-0.134,0.051,0.052675,0.400000,0.394650,2.633739,0.000000,0.000000,1,52.51
