timestamp,roll_angle,steering_output,final_steer,target_speed,actual_speed_kmh,actual_handlebar_angle,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage,x,y,v,yaw
0.002000,-0.010,-0.020330,-0.020330,4.321,0.00,0.022083,0.019998,0.000000,0.000332,0.000,0.014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.327,0.014,-2.617960
0.004000,-0.010,-0.024870,-0.024870,4.321,1.31,0.021236,0.020340,0.000008,0.004522,0.000,0.017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.327,0.027,-2.617888
0.006000,-0.010,-0.038343,-0.038343,4.321,2.44,0.020314,0.020741,0.000011,0.017590,0.000,0.026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.034,-2.617807
0.008000,-0.011,-0.040226,-0.040226,4.321,3.36,0.019141,0.021197,0.000046,0.018983,0.000,0.027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.040,-2.617705
0.010000,-0.011,-0.043675,-0.043675,4.321,4.08,0.017953,0.021696,0.000065,0.021914,0.010,0.029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.046,-2.617599
0.012000,-0.011,-0.047749,-0.047749,4.321,4.67,0.016721,0.022240,0.000080,0.025428,0.010,0.032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.052,-2.617487
0.014000,-0.011,-0.054657,-0.054657,4.321,5.13,0.015432,0.022789,0.000086,0.031782,0.010,0.036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.053,-2.617370
0.016000,-0.012,-0.047128,-0.047128,4.321,5.51,0.014030,0.023344,0.000099,0.023685,0.011,0.031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.053,-2.617244
0.018000,-0.012,-0.051945,-0.051945,4.321,5.81,0.012807,0.023891,0.000111,0.027944,0.011,0.035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.053,-2.617131
0.020000,-0.012,-0.055211,-0.055211,4.321,6.04,0.011512,0.024442,0.000123,0.030646,0.011,0.037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.053,-2.617013
0.022000,-0.012,-0.060808,-0.060808,4.321,6.24,0.010177,0.024997,0.000131,0.035681,0.011,0.041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.053,-2.616890
0.024000,-0.013,-0.056267,-0.056267,4.321,6.39,0.008758,0.025557,0.000144,0.030567,0.012,0.038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.164,-46.326,0.054,-2.616760
0.026000,-0.013,-0.066637,-0.066637,4.321,6.51,0.007457,0.026111,0.000149,0.040377,0.012,0.044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.326,0.054,-2.616640
0.028000,-0.013,-0.068660,-0.068660,4.321,6.61,0.005975,0.026676,0.000159,0.041824,0.012,0.046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.326,0.054,-2.616504
0.030000,-0.014,-0.068390,-0.068390,4.321,6.69,0.004483,0.027243,0.000175,0.040972,0.012,0.046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.054,-2.616366
0.032000,-0.014,-0.063639,-0.063639,4.321,6.75,0.003025,0.027808,0.000198,0.035633,0.013,0.042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.054,-2.616231
0.034000,-0.014,-0.074920,-0.074920,4.321,6.80,0.001692,0.028369,0.000203,0.046348,0.013,0.050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.054,-2.616107
0.036000,-0.014,-0.064405,-0.064405,4.321,6.84,0.000160,0.028940,0.000225,0.035240,0.013,0.043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.615965
0.038000,-0.015,-0.068479,-0.068479,4.321,6.87,-0.001132,0.029501,0.000233,0.038745,0.014,0.046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.054,-2.615842
0.040000,-0.015,-0.067926,-0.067926,4.321,6.90,-0.002479,0.030065,0.000256,0.037605,0.014,0.045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.054,-2.615715
0.042000,-0.015,-0.075358,-0.075358,4.321,6.92,-0.003788,0.030628,0.000265,0.044465,0.014,0.050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.615590
0.044000,-0.016,-0.067186,-0.067186,4.321,6.93,-0.005219,0.031199,0.000277,0.035710,0.014,0.045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.615455
0.046000,-0.016,-0.070216,-0.070216,4.321,6.95,-0.006459,0.031761,0.000291,0.038164,0.015,0.047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.615335
0.048000,-0.016,-0.063067,-0.063067,4.321,6.96,-0.007734,0.032326,0.000323,0.030418,0.015,0.042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.615212
0.050000,-0.016,-0.065119,-0.065119,4.321,6.97,-0.008841,0.032883,0.000341,0.031895,0.015,0.043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.615103
0.052000,-0.017,-0.056182,-0.056182,4.321,6.97,-0.009966,0.033443,0.001129,0.021611,0.016,0.037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.325,0.055,-2.614991
0.054000,-0.017,-0.050820,-0.050820,4.321,6.98,-0.010891,0.033993,0.001195,0.015632,0.016,0.034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.324,0.055,-2.614896
0.056000,-0.017,-0.049648,-0.049648,4.321,6.98,-0.011689,0.034538,0.001216,0.013894,0.016,0.033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.165,-46.324,0.055,-2.614811
0.058000,-0.018,-0.051652,-0.051652,4.321,6.99,-0.012449,0.035082,0.001239,0.015331,0.016,0.034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00,0.166,-46.324,0.055,-2.614729
0.060000,-0.018,-0.048039,-0.024019,4.321,6.99,-0.013233,0.035629,0.001354,0.011056,0.017,0.032,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614644
0.062000,-0.018,-0.056010,-0.028005,4.321,6.99,-0.013562,0.036153,0.001367,0.018490,0.017,0.037,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614597
0.064000,-0.018,-0.061172,-0.030586,4.321,6.99,-0.013851,0.036677,0.001383,0.023113,0.017,0.041,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614552
0.066000,-0.019,-0.069845,-0.034923,4.321,6.99,-0.014185,0.037203,0.001390,0.031251,0.018,0.047,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614504
0.068000,-0.019,-0.071104,-0.035552,4.321,7.00,-0.014600,0.037735,0.001410,0.031959,0.018,0.047,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614449
0.070000,-0.019,-0.073920,-0.036960,4.321,7.00,-0.015019,0.038268,0.001443,0.034209,0.018,0.049,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614392
0.072000,-0.019,-0.071066,-0.035533,4.321,7.00,-0.015458,0.038802,0.001468,0.030795,0.018,0.047,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.055,-2.614334
0.074000,-0.020,-0.075144,-0.037572,4.321,7.00,-0.015859,0.039336,0.001479,0.034329,0.019,0.050,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.056,-2.614278
0.076000,-0.020,-0.074034,-0.037017,4.321,7.00,-0.016294,0.039872,0.001489,0.032673,0.019,0.049,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.324,0.056,-2.614219
0.078000,-0.020,-0.070087,-0.035044,4.321,5.70,-0.016708,0.039962,0.001508,0.028617,0.019,0.047,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.323,0.079,-2.614189
0.080000,-0.020,-0.064864,-0.032432,4.321,4.58,-0.017075,0.039618,0.001546,0.023700,0.019,0.043,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.323,0.139,-2.614164
0.082000,-0.019,-0.049585,-0.024792,4.321,3.64,-0.017382,0.038956,0.001558,0.009071,0.020,0.033,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.323,0.192,-2.614143
0.084000,-0.019,-0.033333,-0.016666,4.321,2.86,-0.017530,0.038071,0.001587,-0.006325,0.020,0.022,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.166,-46.323,0.239,-2.614134
0.086000,-0.019,-0.011788,-0.005894,4.321,2.23,-0.017513,0.037046,0.001607,-0.026864,0.020,0.008,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.167,-46.323,0.280,-2.614135
0.088000,-0.018,-0.004263,-0.002132,4.321,1.73,-0.017281,0.035943,0.001643,-0.033322,0.020,0.003,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.167,-46.322,0.317,-2.614151
0.090000,-0.017,0.002971,0.001485,4.321,1.35,-0.016978,0.034816,0.001667,-0.039454,0.019,0.002,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.167,-46.322,0.352,-2.614171
0.092000,-0.017,-0.000442,-0.000221,4.321,1.10,-0.016609,0.033745,0.001697,-0.035000,0.019,0.000,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.167,-46.322,0.383,-2.614211
0.094000,-0.016,0.002951,0.001475,4.321,1.04,-0.016281,0.032763,0.001717,-0.037430,0.019,0.002,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.167,-46.321,0.409,-2.614267
0.096000,-0.016,0.000078,0.000039,4.321,1.19,-0.015926,0.031867,0.001741,-0.033686,0.018,0.000,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.168,-46.321,0.430,-2.614341
0.098000,-0.016,0.013374,0.006687,4.321,1.57,-0.015607,0.031062,0.001748,-0.046184,0.017,0.009,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.168,-46.320,0.448,-2.614427
0.100000,-0.015,-0.030767,-0.015384,4.321,2.14,-0.015161,0.030341,0.000000,0.000427,0.000,0.021,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.169,-46.320,0.465,-2.614536
0.102000,-0.015,-0.029863,-0.014931,4.321,2.88,-0.015165,0.029727,0.000190,-0.000054,0.000,0.020,0.057813,0.000000,0.000000,0.115625,0.000000,-0.282949,1,1.07,0.169,-46.319,0.481,-2.614620
