timestamp,roll_angle,steering_output,target_speed,p_term,i_term,d_term,error,stability_factor
0.005000,0.005,-0.002170,4.978,-0.002136,-0.000030,-0.000004,0.000,0.007
0.010000,0.010,-0.004266,4.962,-0.004198,-0.000038,-0.000029,0.000,0.013
0.015000,-0.012,0.004958,4.957,0.004911,-0.000028,0.000075,0.000,0.015
0.020000,0.002,-0.000764,4.989,-0.000769,-0.000030,0.000035,0.000,0.002
0.025000,0.011,-0.004466,4.960,-0.004419,-0.000040,-0.000008,-0.005,0.014
0.030000,-0.003,0.001278,4.985,0.001266,-0.000036,0.000049,-0.010,0.004
0.035000,0.003,-0.001114,4.987,-0.001126,-0.000039,0.000052,0.012,0.003
0.040000,0.011,-0.004538,4.960,-0.004399,-0.000049,-0.000091,-0.002,0.014
0.045000,0.004,-0.001610,4.983,-0.001540,-0.000052,-0.000018,-0.011,0.005
0.050000,-0.020,0.008247,4.931,0.008146,-0.000034,0.000135,0.003,0.026
0.055000,-0.004,0.001526,4.983,0.001578,-0.000032,-0.000020,-0.003,0.005
0.060000,0.017,-0.006830,4.942,-0.006688,-0.000046,-0.000096,-0.011,0.021
0.065000,-0.007,0.002912,4.973,0.002896,-0.000040,0.000056,-0.004,0.009
0.070000,0.006,-0.002635,4.975,-0.002550,-0.000045,-0.000040,0.020,0.008
0.075000,0.001,-0.000503,4.991,-0.000329,-0.000046,-0.000127,0.004,0.002
0.080000,-0.017,0.006741,4.943,0.006644,-0.000039,0.000136,-0.017,0.021
0.085000,0.003,-0.001065,4.987,-0.001138,-0.000041,0.000114,0.007,0.003
0.090000,0.005,-0.001915,4.980,-0.001860,-0.000044,-0.000012,-0.006,0.006
0.095000,-0.000,0.000163,4.994,0.000123,-0.000043,0.000084,-0.001,0.001
0.100000,-0.006,0.002456,4.976,0.002330,0.000125,0.000001,0.000,0.008
0.105000,-0.010,0.004302,4.962,0.004141,0.000132,0.000029,0.000,0.013
0.110000,-0.004,0.001729,4.982,0.001588,0.000136,0.000005,0.000,0.005
0.115000,-0.010,0.004069,4.964,0.003827,0.000138,0.000104,0.000,0.013
0.120000,0.000,-0.000012,4.995,-0.000064,0.000138,-0.000087,0.006,0.000
