timestamp,roll_angle,steering_output,final_steer,target_speed,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,-0.009,-0.001349,-0.001349,4.985,0.001288,0.000000,0.000061,0.000,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.013,0.023144,0.023144,4.815,-0.001882,0.000000,-0.021263,0.000,0.072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.000,-0.006671,-0.006671,4.943,-0.000012,0.000000,0.006683,0.000,0.021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,-0.008,-0.039238,-0.039238,4.689,0.001174,0.000000,0.038064,0.000,0.123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,0.002,0.084628,0.084628,4.335,-0.000263,0.000000,-0.084364,0.009,0.264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.023,0.204151,0.204151,3.402,-0.003411,0.000000,-0.200740,-0.013,0.638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.013,0.142507,0.142507,3.883,-0.001952,0.000000,-0.140555,-0.000,0.445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,-0.001,0.118988,0.118988,4.067,0.000158,0.000000,-0.119146,0.008,0.372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.001,0.152354,0.152354,3.806,0.000104,0.000000,-0.152458,-0.002,0.476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.027,0.183364,0.183364,3.564,-0.004045,0.000000,-0.179318,-0.023,0.573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,0.021,0.054414,0.054414,4.571,-0.003193,0.000000,-0.051221,-0.013,0.170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,0.031,0.114136,0.114136,4.104,-0.004666,0.000000,-0.109470,0.001,0.357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.036,0.188141,0.188141,3.527,-0.005343,0.000000,-0.182798,0.001,0.588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.059,0.310315,0.310315,2.997,-0.008907,0.000000,-0.301408,-0.027,0.970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.051,0.115132,0.115132,4.097,-0.007656,0.000000,-0.107476,-0.021,0.360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,0.070,0.200737,0.200737,3.429,-0.010557,0.000000,-0.190180,-0.031,0.627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,0.084,0.320000,0.320000,2.997,-0.012609,0.000000,-0.354213,-0.036,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,0.114,0.320000,0.320000,2.997,-0.017169,0.000000,-0.745540,-0.059,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,0.115,0.320000,0.320000,2.997,-0.017264,0.000000,-0.633585,-0.051,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,0.135,0.320000,0.320000,2.997,-0.020254,0.000000,-0.794348,-0.070,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.042000,0.168,0.320000,0.320000,2.997,-0.025211,0.000000,-1.184325,-0.084,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.044000,0.187,0.320000,0.320000,2.997,-0.028116,0.000000,-1.270983,-0.114,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.046000,0.204,0.320000,0.320000,2.997,-0.030534,0.000000,-1.081450,-0.115,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.048000,0.219,0.320000,0.320000,2.997,-0.032915,0.000000,-1.107142,-0.135,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
