timestamp,Kp,Ki,Kd,P,I,D,PID,speed,handlebar_angle,error,roll_angle
2025-06-25T15:18:13.084731,0.046511627906976744,0.03805496828752643,0.0003382663847780127,0,0.0,0.0,0.0,0.3209792530675065,0.39323467230443976,0,179.9992999764754
2025-06-25T15:18:13.116536,0.046511627906976744,0.03805496828752643,0.0003382663847780127,0,0.0,0.0,0.0,0.5901698926985794,0.39323467230443976,0,179.33844416249514
2025-06-25T15:18:13.145580,0.046511627906976744,0.03805496828752643,0.0003382663847780127,0,0.0,0.0,0.0,0.8469000025290679,0.39323467230443976,0,178.87102595765543
2025-06-25T15:18:13.202241,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,0.512,2000.0,2.184389006342495,1.0928404428061582,0.39323467230443976,32,178.5774932642656
2025-06-25T15:18:13.231001,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,0.8533333333333333,1000.0,1.8591120507399577,1.1915442113446795,0.39323467230443976,32,178.4366125829257
2025-06-25T15:18:13.258206,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,1.080888888888889,500.0,1.6986384778012686,1.1937966448819883,0.39323467230443976,32,178.4178645872626
2025-06-25T15:18:13.287187,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,1.2325925925925927,250.0,1.61984496124031,1.1894829104980937,0.39323467230443976,32,178.50000987882598
2025-06-25T15:18:13.315508,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,1.3337283950617285,125.0,1.581410382898755,1.186757451355217,0.39323467230443976,32,178.66655248333964
2025-06-25T15:18:13.345804,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,1.4011522633744855,62.5,1.5628345470205935,1.1853589851709387,0.39323467230443976,32,178.90376231670913
2025-06-25T15:18:13.379376,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,1.4461015089163238,31.25,1.5539742646099235,1.1848380116152988,0.39323467230443976,32,179.20014870232433
2025-06-25T15:18:13.409623,0.046511627906976744,0.03805496828752643,0.0003382663847780127,32,1.4760676726108826,15.625,1.5498292137568623,1.1849488852648717,0.39323467230443976,32,179.54609842011183
2025-06-25T15:18:13.433138,0.046511627906976744,0.03805496828752643,0.0003382663847780127,28,1.4320451150739217,-242.1875,1.2748981227723692,1.1854068823141979,0.39323467230443976,28,179.93356179074465
2025-06-25T15:18:13.464176,0.046511627906976744,0.03805496828752643,0.0003382663847780127,28,1.4026967433826145,-121.09375,1.3147432164500785,1.1860201628360487,0.39323467230443976,28,-179.64421588553103
2025-06-25T15:18:13.483471,0.046511627906976744,0.03805496828752643,0.0003382663847780127,28,1.3831311622550764,-60.546875,1.334479621396599,1.1866751306750098,0.39323467230443976,28,-179.19291779617947
2025-06-25T15:18:13.514311,0.046511627906976744,0.03805496828752643,0.0003382663847780127,28,1.3700874415033844,-30.2734375,1.3442237292749704,1.1857985648590306,0.39323467230443976,28,-178.7171900542463
2025-06-25T15:18:13.533794,0.046511627906976744,0.03805496828752643,0.0003382663847780127,21,1.249391627668923,-452.63671875,0.8711779583468088,1.1861102867991644,0.39323467230443976,21,-178.2209942928192
2025-06-25T15:18:13.557152,0.046511627906976744,0.03805496828752643,0.0003382663847780127,21,1.168927751779282,-226.318359375,0.9446718013362095,1.186474667085031,0.39323467230443976,21,-177.70762844527079
2025-06-25T15:18:13.579175,0.046511627906976744,0.03805496828752643,0.0003382663847780127,21,1.1152851678528546,-113.1591796875,0.9809083811233643,1.1868366022428412,0.39323467230443976,21,-177.17985641115928
2025-06-25T15:18:13.601344,0.046511627906976744,0.03805496828752643,0.0003382663847780127,21,1.0795234452352365,-56.57958984375,0.9986864432119117,1.1871719852334475,0.39323467230443976,21,-176.63999388061558
2025-06-25T15:18:13.631097,0.046511627906976744,0.03805496828752643,0.0003382663847780127,13,0.9276822968234909,-528.289794921875,0.4612514041338749,1.1874682535314205,0.39323467230443976,13,-176.08998093814262
2025-06-25T15:18:13.651798,0.046511627906976744,0.03805496828752643,0.0003382663847780127,13,0.8264548645489939,-264.1448974609375,0.5467505369305113,1.248124861791406,0.39323467230443976,13,-175.50144954593134
2025-06-25T15:18:13.683371,0.046511627906976744,0.03805496828752643,0.0003382663847780127,13,0.7589699096993292,-132.07244873046875,0.5888580688746573,1.1907679006326968,0.39323467230443976,13,-174.93573559562125
2025-06-25T15:18:13.713782,0.046511627906976744,0.03805496828752643,0.0003382663847780127,13,0.7139799397995528,-66.03622436523438,0.6094838118772822,1.1882633242328804,0.39323467230443976,13,-174.36402162896525
2025-06-25T15:18:13.735406,0.046511627906976744,0.03805496828752643,0.0003382663847780127,6,0.5719866265330352,-470.5181121826172,0.141676239594875,1.1880799316973094,0.39323467230443976,6,-173.78726407927965
2025-06-25T15:18:13.759132,0.046511627906976744,0.03805496828752643,0.0003382663847780127,6,0.47732441768869016,-235.2590560913086,0.2176541026295709,1.4439329943320007,0.39323467230443976,6,-173.11799835908576
2025-06-25T15:18:13.777174,0.046511627906976744,0.03805496828752643,0.0003382663847780127,6,0.4142162784591268,-117.6295280456543,0.2550426395876524,1.6308647142648027,0.39323467230443976,6,-172.3098451294938
2025-06-25T15:18:13.807455,0.046511627906976744,0.03805496828752643,0.0003382663847780127,6,0.37214418563941787,-58.81476402282715,0.2733366450271822,1.576873226190311,0.39323467230443976,6,-171.52752400286582
2025-06-25T15:18:13.828579,0.046511627906976744,0.03805496828752643,0.0003382663847780127,-35,-0.3119038762403882,-2591.9073820114136,-2.516531608655715,1.5480752442536037,-0.39323467230443976,-35,-170.75665207498227
