timestamp,roll_angle,steering_output,target_speed,p_term,i_term,d_term,error,stability_factor
0.005000,-0.008,0.021010,4.831,0.003201,0.000043,0.017766,0.000,0.066
0.010000,0.011,-0.320000,2.997,-0.004414,0.000036,-0.323784,0.000,1.000
0.015000,0.011,-0.320000,2.997,-0.004377,0.000024,-0.322790,0.000,1.000
0.020000,0.020,-0.320000,2.997,-0.008016,0.000003,-0.426721,0.000,1.000
0.025000,-0.030,0.165740,3.702,0.012161,0.000034,0.153544,0.008,0.518
0.030000,-0.060,0.320000,2.997,0.023972,0.000097,0.476943,-0.011,1.000
0.035000,-0.126,0.320000,2.997,0.050415,0.000229,1.575426,-0.011,1.000
0.040000,-0.158,0.320000,2.997,0.063015,0.000359,2.029875,-0.020,1.000
0.045000,-0.177,0.320000,2.997,0.070920,0.000511,2.410467,0.030,1.000
0.050000,-0.199,0.320000,2.997,0.079743,0.000677,2.148191,0.060,1.000
0.055000,-0.186,0.320000,2.997,0.074233,0.000829,1.604744,0.126,1.000
0.060000,-0.143,0.272234,2.997,0.057055,0.000945,0.214234,0.158,0.851
0.065000,-0.122,-0.320000,2.997,0.048755,0.001045,-0.545328,0.177,1.000
0.070000,-0.095,-0.320000,2.997,0.038035,0.001124,-1.208434,0.199,1.000
0.075000,-0.038,-0.320000,2.997,0.015378,0.001148,-2.624137,0.186,1.000
0.080000,0.032,-0.320000,2.997,-0.012657,0.001128,-3.794309,0.143,1.000
0.085000,0.113,-0.320000,2.997,-0.045227,0.001060,-4.766214,0.122,1.000
0.090000,0.174,-0.320000,2.997,-0.069798,0.000954,-5.676504,0.095,1.000
0.095000,0.232,-0.320000,2.997,-0.092952,0.000815,-6.456701,0.038,1.000
0.100000,0.237,-0.236024,3.153,-0.094807,-0.004947,-0.136270,0.000,0.738
0.105000,0.206,0.320000,2.997,-0.082438,-0.005003,1.238117,0.000,1.000
0.110000,0.177,0.320000,2.997,-0.070834,-0.005073,2.118979,0.000,1.000
0.115000,0.116,0.320000,2.997,-0.046350,-0.005117,4.044801,0.000,1.000
0.120000,0.018,0.320000,2.997,-0.007302,-0.005124,7.124258,-0.237,1.000
0.125000,-0.051,0.320000,2.997,0.020382,-0.005103,9.338976,-0.206,1.000
0.130000,-0.129,0.320000,2.997,0.051716,-0.005050,10.227519,-0.177,1.000
0.135000,-0.149,0.320000,2.997,0.059434,-0.004992,9.940008,-0.116,1.000
0.140000,-0.179,0.320000,2.997,0.071717,-0.004920,8.938672,-0.018,1.000
0.145000,-0.154,0.320000,2.997,0.061481,-0.004860,5.080615,0.051,1.000
0.150000,-0.100,0.320000,2.997,0.039832,-0.004821,1.332547,0.129,1.000
0.155000,-0.016,-0.320000,2.997,0.006221,-0.004815,-3.523792,0.149,1.000
0.160000,0.077,-0.320000,2.997,-0.030706,-0.004863,-5.890237,0.179,1.000
0.165000,0.177,-0.320000,2.997,-0.070706,-0.004974,-8.721908,0.154,1.000
0.170000,0.277,-0.320000,2.997,-0.110706,-0.005148,-9.853526,0.100,1.000
0.175000,0.377,-0.320000,2.997,-0.150706,-0.005382,-10.114408,0.016,1.000
0.180000,0.477,-0.320000,2.997,-0.190706,-0.005678,-9.455235,-0.077,1.000
0.185000,0.511,-0.320000,2.997,-0.204284,-0.005995,-8.339109,-0.177,1.000
0.190000,0.536,-0.320000,2.997,-0.214235,-0.006446,-6.786142,-0.277,1.000
0.195000,0.461,-0.320000,2.997,-0.184398,-0.006842,-3.834626,-0.377,1.000
0.200000,0.413,-0.320000,2.997,-0.165357,-0.012988,-0.157893,0.000,1.000
0.205000,0.313,0.320000,2.997,-0.125357,-0.013232,1.382148,0.000,1.000
0.210000,0.213,0.320000,2.997,-0.085357,-0.013384,3.068488,0.000,1.000
0.215000,0.113,0.320000,2.997,-0.045357,-0.013484,4.435543,0.000,1.000
0.220000,0.013,0.320000,2.997,-0.005357,-0.013495,5.803532,-0.413,1.000
0.225000,-0.087,0.320000,2.997,0.034643,-0.013399,7.044849,-0.313,1.000
0.230000,-0.187,0.320000,2.997,0.074643,-0.013229,6.815710,-0.213,1.000
0.235000,-0.287,0.320000,2.997,0.114643,-0.012970,6.457390,-0.113,1.000
0.240000,-0.387,0.320000,2.997,0.154643,-0.012623,6.430220,-0.013,1.000
0.245000,-0.399,0.320000,2.997,0.159657,-0.012265,5.229701,0.087,1.000
0.250000,-0.388,0.320000,2.997,0.155391,-0.011932,3.997073,0.187,1.000
0.255000,-0.315,0.320000,2.997,0.125826,-0.011577,1.899578,0.287,1.000
0.260000,-0.220,-0.320000,2.997,0.088162,-0.011321,-0.402856,0.387,1.000
0.265000,-0.120,-0.320000,2.997,0.048162,-0.011192,-2.861725,0.399,1.000
0.270000,-0.020,-0.320000,2.997,0.008162,-0.011168,-4.046662,0.388,1.000
0.275000,0.080,-0.320000,2.997,-0.031838,-0.011262,-4.919777,0.315,1.000
0.280000,0.180,-0.320000,2.997,-0.071838,-0.011462,-5.211159,0.220,1.000
0.285000,0.280,-0.320000,2.997,-0.111838,-0.011802,-5.222454,0.120,1.000
0.290000,0.378,-0.320000,2.997,-0.151146,-0.012357,-4.906000,0.020,1.000
0.295000,0.360,-0.320000,2.997,-0.144057,-0.012905,-3.748677,-0.080,1.000
0.300000,0.318,-0.215074,3.317,-0.127281,-0.017215,-0.070578,0.000,0.672
0.305000,0.236,0.320000,2.997,-0.094311,-0.017497,0.758635,0.000,1.000
0.310000,0.161,0.320000,2.997,-0.064258,-0.017712,1.431867,0.000,1.000
0.315000,0.061,0.320000,2.997,-0.024258,-0.017808,2.183747,0.000,1.000
0.320000,-0.039,0.320000,2.997,0.015742,-0.017757,3.106540,-0.318,1.000
0.325000,-0.139,0.320000,2.997,0.055742,-0.017569,4.067194,-0.236,1.000
0.330000,-0.239,0.320000,2.997,0.095742,-0.017195,4.005147,-0.161,1.000
0.335000,-0.322,0.320000,2.997,0.128943,-0.016797,4.138160,-0.061,1.000
0.340000,-0.387,0.320000,2.997,0.154745,-0.016294,3.982066,0.039,1.000
0.345000,-0.365,0.320000,2.997,0.145889,-0.015823,2.853572,0.139,1.000
0.350000,-0.323,0.320000,2.997,0.129021,-0.015374,1.599705,0.239,1.000
0.355000,-0.239,0.105757,4.170,0.095676,-0.015078,0.025159,0.322,0.330
0.360000,-0.155,-0.320000,2.997,0.062066,-0.014900,-1.661085,0.387,1.000
0.365000,-0.055,-0.320000,2.997,0.022066,-0.014838,-3.316006,0.365,1.000
0.370000,0.045,-0.320000,2.997,-0.017934,-0.014885,-4.239185,0.323,1.000
0.375000,0.102,-0.320000,2.997,-0.040996,-0.014992,-4.537846,0.239,1.000
0.380000,0.202,-0.320000,2.997,-0.080996,-0.015181,-5.019401,0.155,1.000
0.385000,0.207,-0.320000,2.997,-0.082981,-0.015361,-4.207989,0.055,1.000
0.390000,0.233,-0.320000,2.997,-0.093047,-0.015561,-3.499588,-0.045,1.000
0.395000,0.154,-0.320000,2.997,-0.061560,-0.015723,-1.472284,-0.102,1.000
0.400000,0.090,-0.056919,4.551,-0.036023,-0.007007,-0.013889,0.000,0.178
0.405000,-0.010,0.320000,2.997,0.003977,-0.006998,1.240292,0.000,1.000
0.410000,-0.110,0.320000,2.997,0.043977,-0.006932,3.239626,0.000,1.000
0.415000,-0.210,0.320000,2.997,0.083977,-0.006801,5.159012,0.000,1.000
0.420000,-0.310,0.320000,2.997,0.123977,-0.006535,6.557287,-0.090,1.000
0.425000,-0.410,0.320000,2.997,0.163977,-0.006181,7.961352,0.010,1.000
