timestamp,roll_angle,steering_output,final_steer,target_speed,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.064000,-0.325,-0.320000,-0.320000,5.994,0.048771,0.000000,1.649929,0.183,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.066000,-0.359,-0.320000,-0.320000,5.994,0.053856,0.000000,2.109154,0.239,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.068000,-0.392,-0.320000,-0.320000,5.994,0.058811,0.000000,1.969682,0.248,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.070000,-0.428,-0.320000,-0.320000,5.994,0.064254,0.000000,2.466212,0.307,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.072000,-0.478,-0.320000,-0.320000,5.994,0.071763,0.000000,1.843613,0.325,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.074000,-0.504,-0.320000,-0.320000,5.994,0.075597,0.000000,1.798793,0.359,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.076000,-0.559,-0.320000,-0.320000,5.994,0.083779,0.000000,1.952234,0.392,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.078000,-0.548,-0.320000,-0.320000,5.994,0.082204,0.000000,1.333153,0.428,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.080000,-0.602,-0.320000,-0.320000,5.994,0.090343,0.000000,0.879681,0.478,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.082000,-0.617,-0.320000,-0.320000,5.994,0.092492,0.000000,0.688626,0.504,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.084000,-0.641,-0.320000,-0.320000,5.994,0.096106,0.000000,0.890153,0.559,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.086000,-0.667,-0.320000,-0.320000,5.994,0.100107,0.000000,0.657671,0.548,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.088000,-0.669,-0.320000,-0.320000,5.994,0.100329,0.000000,0.803317,0.602,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.090000,-0.717,-0.320000,-0.320000,5.994,0.107563,0.000000,1.385896,0.617,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.092000,-0.739,-0.320000,-0.320000,5.994,0.110875,0.000000,1.621121,0.641,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.094000,-0.735,-0.320000,-0.320000,5.994,0.110239,0.000000,1.306310,0.667,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.096000,-0.749,-0.320000,-0.320000,5.994,0.112411,0.000000,1.042145,0.669,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.098000,-0.766,-0.320000,-0.320000,5.994,0.114890,0.000000,1.099728,0.717,1.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.100000,-0.756,-0.115178,-0.115178,5.994,0.113377,0.000000,0.001801,0.000,0.360,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.102000,-0.777,-0.121191,-0.121191,5.994,0.116588,0.000000,0.004603,0.000,0.379,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
0.104000,-0.774,-0.118122,-0.118122,5.994,0.116129,0.000000,0.001993,0.000,0.369,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,1,0.00
