timestamp,roll_angle,steering_output,final_steer,target_speed,p_term,i_term,d_term,error,stability_factor,vision_error,vision_steer_command,vision_speed_command,vision_p_term,vision_i_term,vision_d_term,vision_active,vision_mask_coverage
0.002000,-0.003,-0.000343,-0.000343,4.993,0.000343,0.000000,0.000000,0.000,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.004000,0.024,0.002425,0.002425,4.976,-0.002425,0.000000,-0.000000,0.000,0.008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.006000,0.032,0.003208,0.003208,4.970,-0.003208,0.000000,-0.000000,0.000,0.010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.008000,0.011,0.001145,0.001145,4.986,-0.001145,0.000000,-0.000000,0.000,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.010000,-0.001,-0.000122,-0.000122,4.994,0.000122,0.000000,0.000000,0.003,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.012000,0.012,0.001210,0.001210,4.986,-0.001210,0.000000,-0.000000,-0.024,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.014000,0.005,0.000529,0.000529,4.991,-0.000529,0.000000,0.000000,-0.032,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.016000,0.025,0.002453,0.002453,4.976,-0.002453,0.000000,0.000000,-0.011,0.008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.018000,-0.011,-0.001110,-0.001110,4.987,0.001110,0.000000,0.000000,0.001,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.020000,0.001,0.000081,0.000081,4.995,-0.000081,0.000000,-0.000000,-0.012,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.022000,-0.003,-0.000280,-0.000280,4.993,0.000280,0.000000,-0.000000,-0.005,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.024000,-0.010,-0.000987,-0.000987,4.988,0.000987,0.000000,-0.000000,-0.025,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.026000,0.003,0.000258,0.000258,4.993,-0.000258,0.000000,-0.000000,0.011,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.028000,0.010,0.000955,0.000955,4.988,-0.000955,0.000000,-0.000000,-0.001,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.030000,0.010,0.001032,0.001032,4.987,-0.001032,0.000000,-0.000000,0.003,0.003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.032000,-0.007,-0.000732,-0.000732,4.990,0.000732,0.000000,-0.000000,0.010,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.034000,0.006,0.000634,0.000634,4.990,-0.000634,0.000000,-0.000000,-0.003,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.036000,0.006,0.000593,0.000593,4.991,-0.000593,0.000000,-0.000000,-0.010,0.002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.038000,0.004,0.000405,0.000405,4.992,-0.000405,0.000000,0.000000,-0.010,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.040000,0.002,0.000246,0.000246,4.993,-0.000246,0.000000,0.000000,0.007,0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.042000,-0.001,-0.000136,-0.000136,4.994,0.000136,0.000000,-0.000000,-0.006,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.044000,0.023,0.002307,0.002307,4.977,-0.002307,0.000000,-0.000000,-0.006,0.007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.046000,0.013,0.001256,0.001256,4.985,-0.001256,0.000000,-0.000000,-0.004,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.048000,-0.001,-0.000115,-0.000115,4.994,0.000115,0.000000,-0.000000,-0.002,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.050000,0.014,0.001436,0.001436,4.984,-0.001436,0.000000,-0.000000,0.001,0.004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.00
0.052000,0.010,0.000995,0.000880,4.496,-0.000995,0.000000,-0.000000,-0.023,0.003,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.054000,-0.001,-0.000077,-0.000191,4.496,0.000077,0.000000,0.000000,-0.013,0.000,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.056000,-0.002,-0.000217,-0.000330,4.496,0.000217,0.000000,0.000000,0.001,0.001,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.058000,0.013,0.001321,0.001206,4.496,-0.001321,0.000000,-0.000000,-0.014,0.004,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.060000,-0.019,-0.001897,-0.002010,4.496,0.001897,0.000000,0.000000,-0.010,0.006,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.062000,0.004,0.000381,0.000267,4.496,-0.000381,0.000000,-0.000000,0.001,0.001,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.064000,-0.009,-0.000857,-0.000971,4.496,0.000857,0.000000,-0.000000,0.002,0.003,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.066000,0.012,0.001179,0.001064,4.496,-0.001179,0.000000,-0.000000,-0.013,0.004,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.068000,0.016,0.001605,0.001490,4.496,-0.001605,0.000000,-0.000000,0.019,0.005,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.070000,-0.010,-0.001004,-0.001117,4.496,0.001004,0.000000,-0.000000,-0.004,0.003,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.072000,0.018,0.001813,0.001697,4.496,-0.001813,0.000000,0.000000,0.009,0.006,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.074000,0.015,0.001478,0.001363,4.496,-0.001478,0.000000,0.000000,-0.012,0.005,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.076000,0.005,0.000545,0.000431,4.496,-0.000545,0.000000,0.000000,-0.016,0.002,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.078000,0.006,0.000634,0.000519,4.496,-0.000634,0.000000,0.000000,0.010,0.002,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.080000,0.013,0.001283,0.001167,4.496,-0.001283,0.000000,-0.000000,-0.018,0.004,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.082000,0.020,0.001988,0.001872,4.496,-0.001988,0.000000,-0.000000,-0.015,0.006,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.084000,0.031,0.003056,0.002939,4.496,-0.003056,0.000000,-0.000000,-0.005,0.010,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
0.086000,0.021,0.002107,0.001991,4.496,-0.002107,0.000000,-0.000000,-0.006,0.007,-0.247917,-0.400000,0.300000,-12.395833,-0.000000,-0.000000,1,0.15
