timestamp,roll_angle,steering_output,target_speed,p_term,i_term,d_term,error,stability_factor
0.005000,0.000,0.000000,5.000,0.000000,0.000000,0.000000,0.000,0.000
0.010000,0.002,-0.000079,4.999,-0.000010,-0.000000,-0.000069,0.000,0.000
0.015000,0.002,-0.000079,4.999,-0.000010,-0.000000,-0.000069,0.000,0.000
0.020000,0.003,-0.000131,4.999,-0.000016,-0.000000,-0.000115,0.000,0.000
0.025000,0.004,-0.000156,4.999,-0.000019,-0.000000,-0.000138,0.000,0.000
0.030000,0.005,-0.000200,4.998,-0.000024,-0.000000,-0.000176,-0.002,0.001
0.035000,0.005,-0.000162,4.999,-0.000027,-0.000000,-0.000135,-0.002,0.001
0.040000,0.006,-0.000212,4.998,-0.000032,-0.000000,-0.000180,-0.003,0.001
0.045000,0.007,-0.000202,4.998,-0.000035,-0.000000,-0.000167,-0.004,0.001
0.050000,0.008,-0.000223,4.998,-0.000039,-0.000000,-0.000184,-0.005,0.001
0.055000,0.008,-0.000219,4.998,-0.000042,-0.000000,-0.000176,-0.005,0.001
0.060000,0.010,-0.000269,4.998,-0.000050,-0.000000,-0.000219,-0.006,0.001
0.065000,0.011,-0.000302,4.998,-0.000057,-0.000000,-0.000245,-0.007,0.001
0.070000,0.013,-0.000339,4.997,-0.000063,-0.000000,-0.000275,-0.008,0.001
0.075000,0.014,-0.000375,4.997,-0.000070,-0.000000,-0.000305,-0.008,0.001
0.080000,0.015,-0.000423,4.997,-0.000076,-0.000000,-0.000347,-0.010,0.001
0.085000,0.016,-0.000433,4.997,-0.000081,-0.000000,-0.000351,-0.011,0.001
0.090000,0.017,-0.000434,4.997,-0.000086,-0.000000,-0.000348,-0.013,0.001
0.095000,0.018,-0.000439,4.997,-0.000091,-0.000000,-0.000348,-0.014,0.001
0.100000,0.019,-0.000131,4.999,-0.000095,-0.000000,-0.000036,0.000,0.000
0.105000,0.020,-0.000205,4.998,-0.000099,-0.000000,-0.000106,0.000,0.001
0.110000,0.020,-0.000240,4.998,-0.000102,-0.000000,-0.000137,0.000,0.001
0.115000,0.021,-0.000306,4.998,-0.000106,-0.000000,-0.000200,0.000,0.001
0.120000,0.022,-0.000357,4.997,-0.000108,-0.000000,-0.000249,-0.019,0.001
0.125000,0.022,-0.000373,4.997,-0.000110,-0.000000,-0.000262,-0.020,0.001
0.130000,0.022,-0.000338,4.997,-0.000112,-0.000000,-0.000226,-0.020,0.001
0.135000,0.023,-0.000343,4.997,-0.000114,-0.000000,-0.000229,-0.021,0.001
0.140000,0.023,-0.000299,4.998,-0.000115,-0.000000,-0.000184,-0.022,0.001
0.145000,0.023,-0.000270,4.998,-0.000116,-0.000000,-0.000154,-0.022,0.001
0.150000,0.023,-0.000225,4.998,-0.000116,-0.000000,-0.000109,-0.022,0.001
0.155000,0.023,-0.000195,4.998,-0.000116,-0.000000,-0.000079,-0.023,0.001
0.160000,0.023,-0.000157,4.999,-0.000115,-0.000000,-0.000041,-0.023,0.000
0.165000,0.023,-0.000130,4.999,-0.000115,-0.000000,-0.000015,-0.023,0.000
0.170000,0.024,-0.000209,4.998,-0.000120,-0.000000,-0.000089,-0.023,0.001
0.175000,0.025,-0.000271,4.998,-0.000125,-0.000000,-0.000146,-0.023,0.001
0.180000,0.030,-0.000622,4.995,-0.000152,-0.000000,-0.000470,-0.023,0.002
0.185000,0.036,-0.001159,4.991,-0.000179,-0.000000,-0.000979,-0.023,0.004
0.190000,0.048,-0.001800,4.986,-0.000238,-0.000000,-0.001562,-0.024,0.006
0.195000,0.059,-0.002204,4.983,-0.000296,-0.000000,-0.001908,-0.025,0.007
0.200000,0.073,-0.000456,4.996,-0.000364,-0.000001,-0.000090,0.000,0.001
0.205000,0.086,-0.001154,4.991,-0.000432,-0.000001,-0.000721,0.000,0.004
0.210000,0.100,-0.001870,4.985,-0.000501,-0.000001,-0.001367,0.000,0.006
0.215000,0.114,-0.002576,4.980,-0.000570,-0.000001,-0.002005,0.000,0.008
0.220000,0.127,-0.003180,4.975,-0.000633,-0.000001,-0.002546,-0.073,0.010
0.225000,0.139,-0.003613,4.972,-0.000696,-0.000001,-0.002915,-0.086,0.011
0.230000,0.147,-0.003322,4.974,-0.000737,-0.000002,-0.002583,-0.100,0.010
0.235000,0.156,-0.003020,4.976,-0.000779,-0.000002,-0.002240,-0.114,0.009
0.240000,0.157,-0.002440,4.981,-0.000786,-0.000002,-0.001652,-0.127,0.008
0.245000,0.159,-0.001971,4.985,-0.000793,-0.000002,-0.001176,-0.139,0.006
0.250000,0.157,-0.001445,4.989,-0.000785,-0.000002,-0.000659,-0.147,0.005
0.255000,0.155,-0.001091,4.991,-0.000777,-0.000002,-0.000312,-0.156,0.003
0.260000,0.152,-0.000721,4.994,-0.000759,-0.000002,0.000040,-0.157,0.002
0.265000,0.148,-0.000616,4.995,-0.000740,-0.000002,0.000126,-0.159,0.002
0.270000,0.141,-0.000301,4.998,-0.000706,-0.000003,0.000408,-0.157,0.001
0.275000,0.135,-0.000104,4.999,-0.000673,-0.000003,0.000571,-0.155,0.000
0.280000,0.124,0.000244,4.998,-0.000618,-0.000003,0.000865,-0.152,0.001
0.285000,0.113,0.000587,4.995,-0.000564,-0.000003,0.001154,-0.148,0.002
0.290000,0.097,0.001178,4.991,-0.000485,-0.000003,0.001666,-0.141,0.004
0.295000,0.081,0.001536,4.988,-0.000405,-0.000003,0.001944,-0.135,0.005
0.300000,0.059,-0.000338,4.997,-0.000296,-0.000002,-0.000040,0.000,0.001
0.305000,0.037,0.000476,4.996,-0.000187,-0.000002,0.000664,0.000,0.001
0.310000,0.009,0.001972,4.985,-0.000044,-0.000002,0.002018,0.000,0.006
0.315000,-0.020,0.003189,4.975,0.000098,-0.000002,0.003093,0.000,0.010
0.320000,-0.056,0.004751,4.963,0.000280,-0.000002,0.004472,-0.059,0.015
0.325000,-0.092,0.006327,4.951,0.000462,-0.000002,0.005866,-0.037,0.020
0.330000,-0.134,0.007970,4.938,0.000670,-0.000002,0.007302,-0.009,0.025
0.335000,-0.175,0.008813,4.931,0.000877,-0.000002,0.007938,0.020,0.028
0.340000,-0.215,0.009776,4.924,0.001073,-0.000001,0.008705,0.056,0.031
0.345000,-0.254,0.010440,4.918,0.001269,-0.000001,0.009172,0.092,0.033
0.350000,-0.287,0.010775,4.916,0.001434,-0.000001,0.009343,0.134,0.034
0.355000,-0.320,0.010329,4.919,0.001598,-0.000001,0.008732,0.175,0.032
0.360000,-0.343,0.009551,4.925,0.001715,-0.000001,0.007838,0.215,0.030
0.365000,-0.366,0.009325,4.927,0.001831,-0.000001,0.007495,0.254,0.029
0.370000,-0.376,0.008151,4.936,0.001879,-0.000001,0.006272,0.287,0.025
0.375000,-0.386,0.007299,4.943,0.001928,-0.000001,0.005372,0.320,0.023
0.380000,-0.381,0.005540,4.957,0.001906,-0.000000,0.003634,0.343,0.017
0.385000,-0.377,0.004148,4.968,0.001884,-0.000000,0.002264,0.366,0.013
0.390000,-0.362,0.001651,4.987,0.001812,-0.000000,-0.000162,0.376,0.005
0.395000,-0.348,0.000029,5.000,0.001741,-0.000000,-0.001711,0.386,0.000
0.400000,-0.324,0.001802,4.986,0.001619,0.000012,0.000171,0.000,0.006
0.405000,-0.299,0.000032,5.000,0.001497,0.000012,-0.001477,0.000,0.000
0.410000,-0.265,-0.002285,4.982,0.001323,0.000012,-0.003621,0.000,0.007
0.415000,-0.230,-0.003719,4.971,0.001150,0.000013,-0.004881,0.000,0.012
0.420000,-0.184,-0.006800,4.947,0.000920,0.000013,-0.007733,0.324,0.021
0.425000,-0.138,-0.009305,4.927,0.000691,0.000013,-0.010008,0.299,0.029
0.430000,-0.092,-0.010060,4.921,0.000460,0.000013,-0.010533,0.265,0.031
0.435000,-0.046,-0.010332,4.919,0.000229,0.000013,-0.010574,0.230,0.032
0.440000,-0.004,-0.010882,4.915,0.000019,0.000013,-0.010914,0.184,0.034
0.445000,0.038,-0.010666,4.917,-0.000191,0.000013,-0.010488,0.138,0.033
0.450000,0.072,-0.010731,4.916,-0.000361,0.000013,-0.010383,0.092,0.034
0.455000,0.106,-0.010258,4.920,-0.000531,0.000013,-0.009739,0.046,0.032
0.460000,0.129,-0.009231,4.928,-0.000645,0.000013,-0.008599,0.004,0.029
0.465000,0.152,-0.008554,4.933,-0.000759,0.000012,-0.007808,-0.038,0.027
0.470000,0.160,-0.006481,4.949,-0.000801,0.000012,-0.005692,-0.072,0.020
0.475000,0.169,-0.004887,4.962,-0.000843,0.000012,-0.004057,-0.106,0.015
0.480000,0.171,-0.003482,4.973,-0.000854,0.000012,-0.002639,-0.129,0.011
0.485000,0.173,-0.002524,4.980,-0.000866,0.000012,-0.001670,-0.152,0.008
0.490000,0.172,-0.001663,4.987,-0.000859,0.000012,-0.000816,-0.160,0.005
0.495000,0.170,-0.001301,4.990,-0.000851,0.000012,-0.000462,-0.169,0.004
0.500000,0.167,-0.000912,4.993,-0.000833,-0.000008,-0.000070,0.000,0.003
0.505000,0.163,-0.000758,4.994,-0.000815,-0.000008,0.000065,0.000,0.002
0.510000,0.159,-0.000600,4.995,-0.000793,-0.000008,0.000201,0.000,0.002
0.515000,0.154,-0.000440,4.997,-0.000770,-0.000008,0.000339,0.000,0.001
0.520000,0.149,-0.000284,4.998,-0.000747,-0.000008,0.000471,-0.167,0.001
0.525000,0.145,-0.000071,4.999,-0.000724,-0.000008,0.000662,-0.163,0.000
0.530000,0.141,-0.000068,4.999,-0.000704,-0.000008,0.000645,-0.159,0.000
0.535000,0.137,-0.000074,4.999,-0.000684,-0.000009,0.000618,-0.154,0.000
0.540000,0.133,-0.000153,4.999,-0.000667,-0.000009,0.000523,-0.149,0.000
0.545000,0.130,-0.000227,4.998,-0.000650,-0.000009,0.000432,-0.145,0.001
0.550000,0.127,-0.000257,4.998,-0.000636,-0.000009,0.000388,-0.141,0.001
0.555000,0.125,-0.000286,4.998,-0.000623,-0.000009,0.000346,-0.137,0.001
0.560000,0.122,-0.000321,4.997,-0.000611,-0.000009,0.000299,-0.133,0.001
0.565000,0.120,-0.000280,4.998,-0.000600,-0.000009,0.000329,-0.130,0.001
0.570000,0.118,-0.000251,4.998,-0.000591,-0.000009,0.000350,-0.127,0.001
0.575000,0.116,-0.000259,4.998,-0.000581,-0.000009,0.000332,-0.125,0.001
0.580000,0.115,-0.000275,4.998,-0.000573,-0.000010,0.000307,-0.122,0.001
0.585000,0.113,-0.000277,4.998,-0.000564,-0.000010,0.000297,-0.120,0.001
0.590000,0.111,-0.000294,4.998,-0.000556,-0.000010,0.000272,-0.118,0.001
0.595000,0.110,-0.000301,4.998,-0.000549,-0.000010,0.000257,-0.116,0.001
0.600000,0.108,-0.000583,4.995,-0.000541,-0.000007,-0.000035,0.000,0.002
0.605000,0.107,-0.000532,4.996,-0.000534,-0.000007,0.000008,0.000,0.002
0.610000,0.105,-0.000488,4.996,-0.000527,-0.000007,0.000045,0.000,0.002
0.615000,0.104,-0.000417,4.997,-0.000520,-0.000007,0.000110,0.000,0.001
0.620000,0.103,-0.000373,4.997,-0.000513,-0.000007,0.000147,-0.108,0.001
0.625000,0.101,-0.000282,4.998,-0.000506,-0.000007,0.000232,-0.107,0.001
0.630000,0.100,-0.000253,4.998,-0.000500,-0.000007,0.000254,-0.105,0.001
0.635000,0.099,-0.000221,4.998,-0.000494,-0.000007,0.000279,-0.104,0.001
0.640000,0.097,-0.000221,4.998,-0.000487,-0.000007,0.000274,-0.103,0.001
0.645000,0.096,-0.000195,4.998,-0.000481,-0.000007,0.000293,-0.101,0.001
0.650000,0.095,-0.000184,4.999,-0.000475,-0.000007,0.000299,-0.100,0.001
0.655000,0.094,-0.000189,4.999,-0.000470,-0.000007,0.000288,-0.099,0.001
0.660000,0.093,-0.000191,4.999,-0.000464,-0.000007,0.000280,-0.097,0.001
0.665000,0.092,-0.000172,4.999,-0.000458,-0.000007,0.000294,-0.096,0.001
0.670000,0.091,-0.000153,4.999,-0.000453,-0.000007,0.000307,-0.095,0.000
0.675000,0.089,-0.000154,4.999,-0.000447,-0.000007,0.000301,-0.094,0.000
0.680000,0.088,-0.000140,4.999,-0.000442,-0.000007,0.000310,-0.093,0.000
0.685000,0.087,-0.000123,4.999,-0.000437,-0.000008,0.000322,-0.092,0.000
0.690000,0.086,-0.000131,4.999,-0.000432,-0.000008,0.000309,-0.091,0.000
0.695000,0.086,-0.000135,4.999,-0.000428,-0.000008,0.000300,-0.089,0.000
0.700000,0.085,-0.000453,4.996,-0.000423,-0.000006,-0.000024,0.000,0.001
0.705000,0.084,-0.000428,4.997,-0.000419,-0.000006,-0.000003,0.000,0.001
0.710000,0.083,-0.000376,4.997,-0.000415,-0.000006,0.000045,0.000,0.001
0.715000,0.082,-0.000335,4.997,-0.000411,-0.000006,0.000082,0.000,0.001
0.720000,0.081,-0.000295,4.998,-0.000407,-0.000006,0.000119,-0.085,0.001
0.725000,0.081,-0.000233,4.998,-0.000404,-0.000006,0.000177,-0.084,0.001
0.730000,0.080,-0.000222,4.998,-0.000400,-0.000006,0.000185,-0.083,0.001
0.735000,0.079,-0.000241,4.998,-0.000397,-0.000006,0.000162,-0.082,0.001
0.740000,0.079,-0.000250,4.998,-0.000394,-0.000006,0.000150,-0.081,0.001
0.745000,0.078,-0.000259,4.998,-0.000390,-0.000006,0.000137,-0.081,0.001
0.750000,0.077,-0.000268,4.998,-0.000387,-0.000006,0.000126,-0.080,0.001
0.755000,0.077,-0.000271,4.998,-0.000384,-0.000006,0.000119,-0.079,0.001
0.760000,0.076,-0.000270,4.998,-0.000381,-0.000007,0.000117,-0.079,0.001
0.765000,0.076,-0.000272,4.998,-0.000378,-0.000007,0.000112,-0.078,0.001
0.770000,0.075,-0.000274,4.998,-0.000375,-0.000007,0.000107,-0.077,0.001
0.775000,0.074,-0.000269,4.998,-0.000371,-0.000007,0.000109,-0.077,0.001
0.780000,0.074,-0.000270,4.998,-0.000368,-0.000007,0.000105,-0.076,0.001
0.785000,0.073,-0.000272,4.998,-0.000365,-0.000007,0.000100,-0.076,0.001
0.790000,0.072,-0.000268,4.998,-0.000362,-0.000007,0.000101,-0.075,0.001
0.795000,0.072,-0.000263,4.998,-0.000359,-0.000007,0.000103,-0.074,0.001
0.800000,0.071,-0.000380,4.997,-0.000356,-0.000006,-0.000017,0.000,0.001
0.805000,0.071,-0.000369,4.997,-0.000353,-0.000006,-0.000010,0.000,0.001
0.810000,0.070,-0.000362,4.997,-0.000351,-0.000006,-0.000005,0.000,0.001
0.815000,0.070,-0.000342,4.997,-0.000348,-0.000006,0.000012,0.000,0.001
0.820000,0.111,-0.001839,4.986,-0.000554,-0.000006,-0.001279,-0.071,0.006
0.825000,0.152,-0.003396,4.973,-0.000760,-0.000006,-0.002630,-0.071,0.011
0.830000,0.292,-0.008418,4.934,-0.001461,-0.000007,-0.006950,-0.070,0.026
0.835000,0.432,-0.013543,4.894,-0.002162,-0.000007,-0.011374,-0.070,0.042
0.840000,0.675,-0.023116,4.819,-0.003376,-0.000007,-0.019732,-0.111,0.072
0.845000,0.918,-0.032148,4.749,-0.004590,-0.000008,-0.027550,-0.152,0.100
0.850000,1.268,-0.046275,4.638,-0.006340,-0.000008,-0.039927,-0.292,0.145
0.855000,1.618,-0.057284,4.552,-0.008090,-0.000009,-0.049185,-0.432,0.179
0.860000,2.082,-0.072894,4.431,-0.010408,-0.000010,-0.062476,-0.675,0.228
0.865000,2.545,-0.084245,4.342,-0.012726,-0.000012,-0.071507,-0.918,0.263
0.870000,3.089,-0.098009,4.234,-0.015446,-0.000013,-0.082550,-1.268,0.306
0.875000,3.633,-0.107869,4.157,-0.018166,-0.000015,-0.089688,-1.618,0.337
0.880000,4.210,-0.124469,4.028,-0.021050,-0.000017,-0.103402,-2.082,0.389
0.885000,4.787,-0.135627,3.940,-0.023934,-0.000019,-0.111674,-2.545,0.424
0.890000,5.406,-0.160005,3.750,-0.027029,-0.000021,-0.132955,-3.089,0.500
0.895000,6.025,-0.172662,3.651,-0.030124,-0.000023,-0.142514,-3.633,0.540
0.900000,6.700,-0.035540,4.722,-0.033501,-0.000643,-0.001396,0.000,0.111
0.905000,7.376,-0.075893,4.407,-0.036878,-0.000646,-0.038370,0.000,0.237
0.910000,8.104,-0.114363,4.107,-0.040518,-0.000649,-0.073195,0.000,0.357
0.915000,8.832,-0.155437,3.786,-0.044158,-0.000653,-0.110626,0.000,0.486
0.920000,9.632,-0.211880,3.345,-0.048158,-0.000656,-0.163067,-6.700,0.662
0.925000,10.432,-0.267944,3.000,-0.052158,-0.000659,-0.215127,-7.376,0.837
0.930000,11.328,-0.294043,3.000,-0.056640,-0.000662,-0.236741,-8.104,0.919
0.935000,12.224,-0.300000,3.000,-0.061122,-0.000666,-0.262278,-8.832,0.938
0.940000,13.233,-0.300000,3.000,-0.066163,-0.000670,-0.292197,-9.632,0.938
0.945000,14.241,-0.300000,3.000,-0.071204,-0.000674,-0.307857,-10.432,0.938
0.950000,15.370,-0.300000,3.000,-0.076848,-0.000680,-0.312919,-11.328,0.938
0.955000,16.498,-0.300000,3.000,-0.082492,-0.000685,-0.328719,-12.224,0.938
0.960000,17.785,-0.300000,3.000,-0.088925,-0.000692,-0.331313,-13.233,0.938
0.965000,19.071,-0.300000,3.000,-0.095357,-0.000699,-0.332650,-14.241,0.938
0.970000,20.531,-0.300000,3.000,-0.102654,-0.000708,-0.334155,-15.370,0.938
0.975000,21.990,-0.300000,3.000,-0.109950,-0.000717,-0.346544,-16.498,0.938
0.980000,23.642,-0.300000,3.000,-0.118211,-0.000727,-0.350438,-17.785,0.938
0.985000,25.294,-0.300000,3.000,-0.126471,-0.000737,-0.367622,-19.071,0.938
0.990000,27.180,-0.300000,3.000,-0.135899,-0.000748,-0.391318,-20.531,0.938
0.995000,29.065,-0.300000,3.000,-0.145327,-0.000764,-0.393488,-21.990,0.938
1.000000,30.981,-0.160890,3.743,-0.154907,0.000000,-0.005983,0.000,0.503
1.005000,32.897,-0.220528,3.277,-0.164487,-0.000025,-0.056016,0.000,0.689
1.010000,34.481,-0.294793,3.000,-0.172406,-0.000042,-0.122344,0.000,0.921
1.015000,36.065,-0.300000,3.000,-0.180326,-0.000061,-0.182811,0.000,0.938
1.020000,37.245,-0.300000,3.000,-0.186225,-0.000081,-0.226077,-30.981,0.938
1.025000,38.425,-0.300000,3.000,-0.192125,-0.000106,-0.256297,-32.897,0.938
1.030000,39.132,-0.300000,3.000,-0.195659,-0.000131,-0.228017,-34.481,0.938
1.035000,39.839,-0.300000,3.000,-0.199194,-0.000157,-0.183890,-36.065,0.938
1.040000,39.980,-0.300000,3.000,-0.199900,-0.000182,-0.127867,-37.245,0.938
1.045000,40.121,-0.289707,3.000,-0.200606,-0.000209,-0.088892,-38.425,0.905
1.050000,39.836,-0.243595,3.097,-0.199182,-0.000235,-0.044177,-39.132,0.761
1.055000,39.552,-0.211960,3.344,-0.197758,-0.000262,-0.013940,-39.839,0.662
1.060000,39.116,-0.174695,3.635,-0.195578,-0.000288,0.021171,-39.980,0.546
1.065000,38.680,-0.156654,3.776,-0.193398,-0.000318,0.037062,-40.121,0.490
1.070000,38.065,-0.131918,3.969,-0.190325,-0.000345,0.058751,-39.836,0.412
1.075000,37.450,-0.120808,4.056,-0.187251,-0.000372,0.066816,-39.552,0.378
1.080000,36.608,-0.113280,4.115,-0.183042,-0.000424,0.070187,-39.116,0.354
1.085000,35.767,-0.108903,4.149,-0.178833,-0.000470,0.070400,-38.680,0.340
1.090000,34.657,-0.078867,4.384,-0.173284,-0.000492,0.094909,-38.065,0.246
1.095000,33.547,-0.053892,4.579,-0.167735,-0.000512,0.114355,-37.450,0.168
1.100000,32.255,-0.166746,3.697,-0.161275,0.000000,-0.005471,0.000,0.521
1.105000,30.963,-0.123161,4.038,-0.154814,-0.000022,0.031675,0.000,0.385
1.110000,29.697,-0.078214,4.389,-0.148485,-0.000041,0.070313,0.000,0.244
1.115000,28.431,-0.032267,4.748,-0.142156,-0.000059,0.109949,0.000,0.101
1.120000,27.291,0.017032,4.867,-0.136454,-0.000073,0.153560,-32.255,0.053
1.125000,26.150,0.070849,4.446,-0.130752,-0.000087,0.201688,-30.963,0.221
1.130000,25.219,0.073014,4.430,-0.126097,-0.000101,0.199212,-29.697,0.228
1.135000,24.288,0.076752,4.400,-0.121442,-0.000113,0.198307,-28.431,0.240
