                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                 1.6537,                 2.6078,                 1.8664,                 1.6199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.6027,                 2.5494,                 1.7607,                  1.638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.5042,                 2.3682,                 1.7794,                   1.58,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.4201,                 2.2909,                 1.6894,                 1.5495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.4668,                 2.3862,                 1.7235,                 1.5452,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011221,              0.0011221,              0.0011221
                     34,                  1.493,                 2.5294,                 1.8766,                 1.5248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001118,               0.001118,               0.001118
                     35,                 1.4513,                 2.6657,                  1.741,                 1.4957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011139,              0.0011139,              0.0011139
                     36,                  1.425,                 2.3696,                 1.6861,                 1.4569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.3253,                 2.1262,                 1.5733,                 1.4199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.3537,                  2.311,                 1.5188,                 1.4381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.2745,                 2.1256,                 1.5743,                 1.3724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2242,                 2.0831,                  1.516,                 1.3527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.3823,                  2.248,                 1.5785,                 1.4065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.3836,                 2.2784,                 1.6549,                 1.4323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001085,               0.001085,               0.001085
                     43,                 1.3728,                 2.3003,                 1.6825,                 1.4286,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010809,              0.0010809,              0.0010809
